class_idx,class_name,precision,recall,f1,support
0,adipose,0.9770200148257969,0.9850523168908819,0.9810197245999256,1338
1,background,0.9906432748538012,1.0,0.9952996474735605,847
2,debris,0.8525469168900804,0.9380530973451328,0.8932584269662921,339
3,lymphocytes,0.958904109589041,0.9936908517350158,0.975987606506584,634
4,mucus,0.9939271255060729,0.9487922705314009,0.9708353929807217,1035
5,smooth_muscle,0.844213649851632,0.9611486486486487,0.8988941548183255,592
6,normal_colon_mucosa,0.9371657754010695,0.9460188933873145,0.941571524513096,741
7,cancer_associated_stroma,0.895910780669145,0.5724465558194775,0.6985507246376812,421
8,colorectal_adenocarcinoma_epithelium,0.9344909234411997,0.9602595296025953,0.9472,1233
